dataset,classifier,method,p_value_raw,effect_size_cohens_d,effect_size_glass_delta,test_statistic,test_type,mean_baseline,mean_method,practical_significance,baseline_std,method_std,p_value_corrected,significant
WineSklearn,RandomForest,RandomOver,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,SMOTE,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,BorderlineSMOTE,0.373900966300059,0.24393374211139773,0.25102721594991706,-1.0,paired_t_test,0.9642943722943723,0.9738181818181818,False,0.03393398667058747,0.035880425843037134,0.8890446217149244,False
WineSklearn,RandomForest,SMOTETomek,0.17780892434298487,0.6067017254421323,0.5010622294652489,-1.6329878258257888,paired_t_test,0.9642943722943723,0.9833043478260869,False,0.03393398667058747,0.02047747621500525,0.8890446217149244,False
WineSklearn,RandomForest,SMOTEENN,0.5797751462760032,0.32792037337247076,0.2718634670761918,-0.6017641302001379,paired_t_test,0.9642943722943723,0.9746086956521738,False,0.03393398667058747,0.020770780698203286,0.8890446217149244,False
WineSklearn,LogisticRegression,RandomOver,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
WineSklearn,LogisticRegression,SMOTE,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
WineSklearn,LogisticRegression,BorderlineSMOTE,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
WineSklearn,LogisticRegression,SMOTETomek,1.0,-0.26934008354593797,-0.41281254969226505,5.0,wilcoxon,0.992,0.9846153846153847,False,0.016000000000000014,0.03076923076923075,1.0,False
WineSklearn,LogisticRegression,SMOTEENN,0.25,-0.8941176470588218,-1.307239740692181,1.5,wilcoxon,0.992,0.9686153846153847,False,0.016000000000000014,0.028955791645584213,1.0,False
